alp,0,7F4
duk05,94DD2,95C7D
duk06,95C7D,96A89
duk07,96A89,976F7
duk08,976F7,985F1
duk09,985F1,9937F
duk10,9937F,9A201
duk11,9A201,9AFAA
duk12,9AFAA,9BD88
duk13,9BD88,9CC30
duk15,9CC30,9DD4E
duk16,9DD4E,9EA47
duk17,9EA47,9F965
elp00,9F965,A05B2
elp01,A05B2,A1017
elp02,A1017,A1DC4
elp03,A1DC4,A2A50
elp04,A2A50,A3758
elp05,A3758,A41CC
elp06,A41CC,A4D96
elp07,A4D96,A5A1A
elp09,A5A1A,A68A5
elp10,A68A5,A75C8
elp11,A75C8,A830A
elp12,A830A,A8D79
flg00,A8D79,A9B4C
flg01,A9B4C,AAF8F
flg02,AAF8F,ABCFB
flg03,ABCFB,ACC3E
flg04,ACC3E,ADB14
flg05,ADB14,AE8EE
flg06,AE8EE,AF76C
flg07,AF76C,B0447
flg09,B0447,B113F
flg10,B113F,B1FD2
flg11,B1FD2,B2C70
flg12,B2C70,B3AB3
flg13,B3AB3,B4958
flg15,B4958,B5766
flg16,B5766,B63C9
flg17,B63C9,B733D
flg18,B733D,B8159
flg19,B8159,B8E52
fox,B8E52,B94C7
fsl,B94C7,B9D35
goa00,B9D35,BABAB
goa01,BABAB,BB8E1
goa02,BB8E1,BC70F
goa04,BC70F,BD701
goa06,BD701,BE856
goa07,BE856,BF695
goa08,BF695,C0609
goa09,C0609,C146C
gor00,C146C,C251F
gor01,C251F,C35EE
gor02,C35EE,C4944
gor04,C4944,C5A9D
gor05,C5A9D,C6AAA
gor07,C6AAA,C7A8F
gor08,C7A8F,C8AA1
gor09,C8AA1,C9BC2
gor10,C9BC2,CAB36
gor11,CAB36,CBAC4
grf,CBAC4,CC240
gstA,CC240,CC74F
gul,CC74F,CCC52
gulB,CCC52,CD271
ham00,CD271,CE31E
ham01,CE31E,CF478
ham02,CF478,D03B2
ham03,D03B2,D163F
ham04,D163F,D2516
ham05,D2516,D37E8
ham06,D37E8,D45BE
ham07,D45BE,D540C
ham09,D540C,D5BEA
hgc,D5BEA,D71AD
hgh,D71AD,D8480
hgs,D8480,D9D5D
hip00,D9D5D,DA9BC
hip02,DA9BC,DB610
hip03,DB610,DC204
hip04,DC204,DCE98
hip05,DCE98,DDBC9
hip08,DDBC9,DE9DD
hip09,DE9DD,DF72C
hrs00,DF72C,E060F
hrs01,E060F,E1628
hrs02,E1628,E263A
hrs03,E263A,E3648
hrs04,E3648,E43B7
hrs05,E43B7,E52FF
hrs06,E52FF,E61E8
hrs07,E61E8,E7048
hrs08,E7048,E7E39
hrs09,E7E39,E8BF0
hrs10,E8BF0,E9A92
hrs11,E9A92,EA96B
hrs12,EA96B,EB6B0
hrs13,EB6B0,EC587
hrs16,EC587,ED309
kal00,ED309,EE226
kal01,EE226,EF42A
kal02,EF42A,F04DF
kal03,F04DF,F1533
kal04,F1533,F24B5
kal05,F24B5,F3440
kal07,F3440,F3C23
kal08,F3C23,F4C68
kal09,F4C68,F5BD1
kal10,F5BD1,F6C7E
kgr00,F6C7E,F7E01
kgr01,F7E01,F8E1D
kgr02,F8E1D,F9DB8
kgr05,F9DB8,FAE67
kgr06,FAE67,FBDCF
kgr08,FBDCF,FCBF5
kgr09,FCBF5,FD8B4
kgr10,FD8B4,FE7F5
kpg,FE7F5,FEEB1
kpm,FEEB1,FF486
kpp,FF486,FFA02
kps,FFA02,100007
lom,100007,100712
lon00,100712,10190F
lon01,10190F,102A48
lon02,102A48,103C9A
lon04,103C9A,104DD9
lon06,104DD9,1060E9
lon07,1060E9,107371
lon08,107371,1084CD
man,1084CD,1089AB
mka,1089AB,109005
mnc,109005,10961E
mnk,10961E,109D13
mnk01,109D13,10AC16
mnk02,10AC16,10BAAE
mnk03,10BAAE,10C9E8
mnk04,10C9E8,10D905
mnk05,10D905,10E99B
mnk06,10E99B,10FA7C
mnk07,10FA7C,110AD4
mnk08,110AD4,111D70
mnk09,111D70,1124DF
mob,1124DF,112B5D
mol,112B5D,11317A
mus00,11317A,114435
mus01,114435,11577D
mus02,11577D,116B04
mus03,116B04,117EA7
mus04,117EA7,11901A
mus05,11901A,11A482
mus08,11A482,11B739
mus09,11B739,11CAC8
mus10,11CAC8,11DEBD
mus12,11DEBD,11F0B1
mus14,11F0B1,12055C
mus15,12055C,12185B
mus16,12185B,122BB2
mus17,122BB2,123C7B
mus18,123C7B,124D13
mus19,124D13,1254BB
ocp00,1254BB,126395
ocp01,126395,1271A2
ocp02,1271A2,128161
ocp04,128161,1287B0
ost00,1287B0,129558
ost01,129558,12A176
ost02,12A176,12AE04
ost03,12AE04,12BE07
ost04,12BE07,12C45B
ost05,12C45B,12D3F0
ost06,12D3F0,12E157
ost07,12E157,12EFCF
ost08,12EFCF,12FCFD
ost09,12FCFD,130877
ost10,130877,13165B
otg,13165B,131D35
ott,131D35,13241E
owl,13241E,1334AD
ows,1334AD,1343F6
pbr00,1343F6,1354A4
pbr01,1354A4,1362E5
pbr02,1362E5,137311
pbr03,137311,138219
pbr05,138219,13920F
pbr06,13920F,13A3C2
pbr07,13A3C2,13B594
pbr08,13B594,13C465
pbr09,13C465,13D1C6
pbr10,13D1C6,13D916
pck,13D916,13E1AF
pge,13E1AF,13E72C
pgn00,13E72C,13F27E
pgn01,13F27E,13FEE0
pgn02,13FEE0,140AD4
pgn03,140AD4,1419F5
pgn04,1419F5,142605
pgn05,142605,1431DF
pgn06,1431DF,143EBD
pgn07,143EBD,1443D4
pgn09,1443D4,14525D
pgn10,14525D,146165
pgn11,146165,146E67
pgn12,146E67,147BF1
pgn13,147BF1,1489A5
pgn14,1489A5,149866
pig00,149866,14A841
pig01,14A841,14B835
pig02,14B835,14C8EB
pig03,14C8EB,14D7FD
pig04,14D7FD,14E845
pig05,14E845,14F8D2
pig08,14F8D2,1508D9
pig09,1508D9,1518A9
pig10,1518A9,152964
pig11,152964,1539B2
pig13,1539B2,154A36
pig14,154A36,155A7A
pig15,155A7A,156933
pig16,156933,157AB6
pig17,157AB6,158A71
pkn,158A71,15923A
plk,15923A,159799
plm,159799,159D56
plo,159D56,15A260
poo,15A260,15A8C1
pooB,15A8C1,15B06C
pyn,15B06C,15B7EA
rbt00,15B7EA,15C8CB
rbt01,15C8CB,15D9CE
rbt02,15D9CE,15E7FD
rbt03,15E7FD,15F853
rbt04,15F853,160907
rbt05,160907,1619E9
rbt06,1619E9,16294A
rbt07,16294A,163904
rbt08,163904,1645B8
rbt09,1645B8,1654BC
rbt10,1654BC,16670B
rbt11,16670B,167792
rbt12,167792,16887E
rbt13,16887E,169961
rbt14,169961,16AAD6
rbt15,16AAD6,16BB0F
rbt16,16BB0F,16CABB
rbt17,16CABB,16DA3A
rbt18,16DA3A,16E927
rbt19,16E927,16F96F
rbt20,16F96F,170AB0
rbt21,170AB0,171278
rcm,171278,171921
rco,171921,171FB8
rct,171FB8,172661
rei,172661,172CEA
rhn00,172CEA,173B74
rhn01,173B74,174A28
rhn02,174A28,175AFC
rhn04,175AFC,1768F7
rhn05,1768F7,176FE4
rhn07,176FE4,178031
rhn08,178031,1790CB
seo,1790CB,179776
shp00,179776,17A5E1
shp01,17A5E1,17B73F
shp02,17B73F,17C6F9
shp03,17C6F9,17D6A6
shp04,17D6A6,17E798
shp07,17E798,17F77D
shp08,17F77D,18076C
shp09,18076C,1818C9
shp10,1818C9,18297D
shp11,18297D,183B3C
shp12,183B3C,184CAB
shp13,184CAB,185E1F
shp14,185E1F,186E0B
shp15,186E0B,187D58
skk,187D58,188C35
slo,188C35,189343
spn,189343,189BBC
squ00,189BBC,18AAC1
squ01,18AAC1,18BAEC
squ02,18BAEC,18C9D7
squ03,18C9D7,18DA05
squ04,18DA05,18EA0C
squ05,18EA0C,18FA9A
squ06,18FA9A,190ACD
squ07,190ACD,19194B
squ08,19194B,192887
squ09,192887,193997
squ10,193997,194991
squ11,194991,1958F6
squ13,1958F6,1968BB
squ14,1968BB,197688
squ15,197688,1984D6
squ16,1984D6,19936F
squ17,19936F,19A284
squ18,19A284,19B217
squ19,19B217,19D195
squ20,19D195,19F172
squ21,19F172,19F7B0
sza,19F7B0,19FE32
szo,19FE32,1A04FC
tap,1A04FC,1A0BCB
tig00,1A0BCB,1A1E71
tig01,1A1E71,1A3003
tig02,1A3003,1A4430
tig03,1A4430,1A56ED
tig04,1A56ED,1A695F
tig05,1A695F,1A7BC0
tig06,1A7BC0,1A8DD8
tkkA,1A8DD8,1A961F
tkkB,1A961F,1A9E5C
ttlA,1A9E5C,1AA421
ttlB,1AA421,1AABB6
tuk,1AABB6,1AB20F
upa,1AB20F,1AB9DB
wol00,1AB9DB,1AC959
wol01,1AC959,1ADC28
wol02,1ADC28,1AEC7E
wol03,1AEC7E,1AFBA0
wol04,1AFBA0,1B0C09
wol05,1B0C09,1B1E34
wol06,1B1E34,1B2D78
wol08,1B2D78,1B3CEB
wol09,1B3CEB,1B4DA3
wol10,1B4DA3,1B5F01
wol12,1B5F01,1B6ECB
wrl,1B6ECB,1B7579
xct,1B7579,1B7D3D
