Accessory,0,1026
TailorTicket,B5B98,B6C5F
TentSet,B6C5F,B7B8A
Timer,B7B8A,B8C3A
Tops,B8C3A,BA058
TrushBoot,BA058,BB0BB
TrushCan,BB0BB,BBEFD
TrushTire,BBEFD,BD4F1
Turnip,BD4F1,BE57B
TurnipExpired,BE57B,BF77E
Umbrella,BF77E,C08CA
Weed,C08CA,C1CE7
WPaperBlack,C1CE7,C3013
WPaperBlue,C3013,C4316
WPaperBrown,C4316,C56AA
WPaperGold,C56AA,C6A01
WPaperGray,C6A01,C7D62
WPaperGreen,C7D62,C90B8
WPaperLightBlue,C90B8,CA414
WPaperLightGreen,CA414,CB766
WPaperMint,CB766,CCA7B
WPaperNavy,CCA7B,CDE03
WPaperOrange,CDE03,CF0D7
WPaperPink,CF0D7,D035F
WPaperPurple,D035F,D166A
WPaperRed,D166A,D2962
WPaperWhite,D2962,D3CAA
WPaperYellow,D3CAA,D4FBB
WParcelBlack,D4FBB,D60B2
WParcelBlue,D60B2,D718F
WParcelBrown,D718F,D82D5
WParcelGary,D82D5,D938F
WParcelGold,D938F,DA4F7
WParcelGreen,DA4F7,DB60E
WParcelLightBlue,DB60E,DC70F
WParcelLightGreen,DC70F,DD839
WParcelMint,DD839,DE970
WParcelNavy,DE970,DFA2C
WParcelOrange,DFA2C,E0B30
WParcelPink,E0B30,E1BA7
WParcelPurple,E1BA7,E2C70
WParcelRed,E2C70,E3D3A
WParcelWhite,E3D3A,E4D96
WParcelYellow,E4D96,E5ECA
